Date,open,high,low,close,volume,SMA,EMA,RSI,GDP,CPI,CPI_inflation_rate,positive,neutral,negative
31-05-2022,149.07,150.66,146.84,148.84,103718416,143.125,145.3391457,44.57416268,25805.791,1.1023524,8.002799821,0.498536946,0.500017694,0.001445353
01-06-2022,149.9,151.74,147.68,148.71,74286635,143.072,145.9520283,52.49042146,25805.791,1.373607576,8.002799821,0.550374217,0.335379426,0.114246366
02-06-2022,147.83,151.27,146.86,151.21,72348055,144.111,146.9080231,60.07453995,25805.791,1.373607576,8.002799821,0.231341083,0.741448015,0.027210841
03-06-2022,146.9,147.97,144.46,145.38,88570289,144.914,146.6302007,48.04342909,25805.791,1.373607576,8.002799821,0.499853017,0.250125828,0.25002117
06-06-2022,147.03,148.5689,144.9,146.14,71598380,145.769,146.5410733,50.69124424,25805.791,1.373607576,8.002799821,0.755720974,0.239885408,0.004393561
07-06-2022,144.345,149,144.1,148.71,67808150,146.329,146.9354236,49.37307783,25805.791,1.373607576,8.002799821,0.615785417,0.381204203,0.003010418
08-06-2022,148.58,149.8697,147.46,147.96,53950201,147.089,147.1217102,60.31791908,25805.791,1.373607576,8.002799821,0.999539733,2.44E-05,0.000435922
09-06-2022,147.08,147.95,142.53,142.64,69472976,147.301,146.3068538,57.25651578,25805.791,1.373607576,8.002799821,0.500515728,0.49948219,2.09E-06
10-06-2022,140.28,140.76,137.06,137.13,91566637,146.636,144.638335,49.44870566,25805.791,1.373607576,8.002799821,0.999577701,6.46E-05,0.000357704
13-06-2022,132.87,135.2,131.44,131.88,122207099,144.86,142.3186377,36.4535585,25805.791,1.373607576,8.002799821,0.995667577,0.000223838,0.004108559
14-06-2022,133.13,133.89,131.48,132.76,84784326,143.252,140.5807036,40.39919151,25805.791,1.373607576,8.002799821,0.999966979,2.42E-05,8.81E-06
15-06-2022,134.29,137.34,132.16,135.43,91532972,141.924,139.644212,43.95343312,25805.791,1.373607576,8.002799821,6.97E-08,0.999999881,1.13E-08
16-06-2022,132.08,132.39,129.04,130.06,107961508,139.809,137.901628,34.47963801,25805.791,1.373607576,8.002799821,0.199256733,0.043047648,0.757695556
17-06-2022,130.065,133.079,129.81,131.56,134520290,138.427,136.7486047,27.30923695,25805.791,1.373607576,8.002799821,0.998508036,0.000653119,0.000838805
21-06-2022,133.42,137.06,133.32,135.87,81000488,137.4,136.5888584,35.04036909,25805.791,1.373607576,8.002799821,0.637111102,0.353997972,0.008890914
22-06-2022,134.79,137.76,133.91,135.35,73409234,136.064,136.3636114,34.72793781,25805.791,1.373607576,8.002799821,0.495928702,0.244445914,0.259625332
23-06-2022,136.82,138.59,135.63,138.27,72433768,135.095,136.7102275,35.34873188,25805.791,1.373607576,8.002799821,0.499860901,0.500004207,0.000134831
24-06-2022,139.9,141.91,139.77,141.66,89116837,134.997,137.6101862,45.54170662,25805.791,1.373607576,8.002799821,0.987380862,8.59E-06,0.012610557
27-06-2022,142.695,143.49,140.965,141.66,70207908,135.45,138.346516,44.53125,25805.791,1.373607576,8.002799821,0.9836393,0.007794323,0.008566376
